layer,mode,budget_B,effect_symKL,offmanifold_norm_ratio,variant,category
24,direction,12.116066932678223,0.357103168964386,1.0202492475509644,11,P_LP
24,magnitude,12.116066932678223,0.07216032594442368,0.16103844344615936,11,P_LP
24,on_manifold_null,12.116066932678223,0.00923515111207962,0.7377138733863831,11,P_LP
24,full,12.116066932678223,0.3833744525909424,0.8884742856025696,11,P_LP
27,direction,38.02585983276367,0.3580877482891083,0.9170666933059692,11,P_LP
27,magnitude,38.02585983276367,0.3272324800491333,0.09873304516077042,11,P_LP
27,on_manifold_null,38.02585983276367,0.06919052451848984,0.8357240557670593,11,P_LP
27,full,38.02585983276367,0.3785344958305359,0.8474826812744141,11,P_LP
12,direction,0.8735268115997314,0.1540781855583191,1.5172683000564575,12,P_LP
12,magnitude,0.8735268115997314,0.0012062115129083395,1.7879585027694702,12,P_LP
12,on_manifold_null,0.8735268115997314,0.0028570699505507946,1.3083539009094238,12,P_LP
12,full,0.8735268115997314,0.15510088205337524,1.5476175546646118,12,P_LP
20,direction,1.5776879787445068,0.14312411844730377,0.9171932935714722,12,P_LP
20,magnitude,1.5776879787445068,0.00044142501428723335,1.1230523586273193,12,P_LP
20,on_manifold_null,1.5776879787445068,0.005150752142071724,0.8135209083557129,12,P_LP
20,full,1.5776879787445068,0.14685410261154175,0.924472451210022,12,P_LP
24,direction,3.3955891132354736,0.14521947503089905,0.7462248802185059,12,P_LP
24,magnitude,3.3955891132354736,0.0009369673207402229,0.9960609078407288,12,P_LP
24,on_manifold_null,3.3955891132354736,0.005628339946269989,0.6759568452835083,12,P_LP
24,full,3.3955891132354736,0.14453916251659393,0.7490106821060181,12,P_LP
27,direction,26.83046531677246,0.09973392635583878,0.8684634566307068,12,P_LP
27,magnitude,26.83046531677246,0.01477266289293766,0.1366928219795227,12,P_LP
27,on_manifold_null,26.83046531677246,0.07472909986972809,0.7522323727607727,12,P_LP
27,full,26.83046531677246,0.10078567266464233,0.8672471046447754,12,P_LP
12,direction,3.7904179096221924,0.9315276741981506,1.5940874814987183,13,P_LP
12,magnitude,3.7904179096221924,0.059662122279405594,2.875380039215088,13,P_LP
12,on_manifold_null,3.7904179096221924,0.6549469232559204,0.8534349203109741,13,P_LP
12,full,3.7904179096221924,0.9080045223236084,1.6012424230575562,13,P_LP
20,direction,5.77405309677124,0.6565646529197693,0.9480173587799072,13,P_LP
20,magnitude,5.77405309677124,0.2962550222873688,0.13988405466079712,13,P_LP
20,on_manifold_null,5.77405309677124,0.5556304454803467,0.7382516860961914,13,P_LP
20,full,5.77405309677124,0.643503725528717,0.9283071756362915,13,P_LP
24,direction,8.602372169494629,0.6471097469329834,0.8235875368118286,13,P_LP
24,magnitude,8.602372169494629,0.05185459926724434,0.14174769818782806,13,P_LP
24,on_manifold_null,8.602372169494629,0.19775713980197906,0.6859089732170105,13,P_LP
24,full,8.602372169494629,0.6575060486793518,0.8137598633766174,13,P_LP
27,direction,34.928611755371094,0.5753194093704224,1.0339597463607788,13,P_LP
27,magnitude,34.928611755371094,0.009303837083280087,1.9591374397277832,13,P_LP
27,on_manifold_null,34.928611755371094,0.08167260885238647,0.8386088013648987,13,P_LP
27,full,34.928611755371094,0.5655074119567871,1.1899489164352417,13,P_LP
12,direction,1.8226667642593384,0.04903293401002884,0.9322546720504761,14,P_LP
12,magnitude,1.8226667642593384,0.001146181020885706,1.4495645761489868,14,P_LP
12,on_manifold_null,1.8226667642593384,0.0015258847270160913,0.808401882648468,14,P_LP
12,full,1.8226667642593384,0.05591486021876335,1.0084476470947266,14,P_LP
20,direction,2.9515562057495117,0.07134784758090973,0.6234666705131531,14,P_LP
20,magnitude,2.9515562057495117,0.0017936560325324535,0.974072277545929,14,P_LP
20,on_manifold_null,2.9515562057495117,0.007376956753432751,0.6041725873947144,14,P_LP
20,full,2.9515562057495117,0.07223480194807053,0.6612390279769897,14,P_LP
24,direction,4.775317668914795,0.02746996283531189,0.5578246712684631,14,P_LP
24,magnitude,4.775317668914795,0.0001476245088269934,0.8738450407981873,14,P_LP
24,on_manifold_null,4.775317668914795,0.002303212881088257,0.4864840507507324,14,P_LP
24,full,4.775317668914795,0.0279364213347435,0.5597499012947083,14,P_LP
27,direction,23.882612228393555,0.009984241798520088,0.7411198019981384,14,P_LP
27,magnitude,23.882612228393555,0.00037477666046470404,1.4131221771240234,14,P_LP
27,on_manifold_null,23.882612228393555,0.09782268106937408,0.6595427989959717,14,P_LP
27,full,23.882612228393555,0.00991012156009674,0.7619007229804993,14,P_LP
12,direction,3.567991018295288,0.17284181714057922,1.2595287561416626,15,P_LP
12,magnitude,3.567991018295288,0.0005574388196691871,0.24876244366168976,15,P_LP
12,on_manifold_null,3.567991018295288,0.0008416772470809519,0.7957351803779602,15,P_LP
12,full,3.567991018295288,0.1721271574497223,1.1849377155303955,15,P_LP
20,direction,5.245008945465088,0.16844616830348969,0.8007174134254456,15,P_LP
20,magnitude,5.245008945465088,0.0012678371276706457,0.17587409913539886,15,P_LP
20,on_manifold_null,5.245008945465088,0.1736539602279663,0.7278755903244019,15,P_LP
20,full,5.245008945465088,0.1666744202375412,0.7647817134857178,15,P_LP
24,direction,7.1597700119018555,0.16222773492336273,0.6251645088195801,15,P_LP
24,magnitude,7.1597700119018555,0.015285688452422619,0.14644336700439453,15,P_LP
24,on_manifold_null,7.1597700119018555,0.1221604198217392,0.5265161395072937,15,P_LP
24,full,7.1597700119018555,0.16135329008102417,0.5975809097290039,15,P_LP
27,direction,23.85730743408203,0.0901559442281723,0.8243950009346008,15,P_LP
27,magnitude,23.85730743408203,0.0032161115668714046,0.16191014647483826,15,P_LP
27,on_manifold_null,23.85730743408203,0.05567898601293564,0.6732122898101807,15,P_LP
27,full,23.85730743408203,0.09173909574747086,0.8004609942436218,15,P_LP
12,direction,2.3373465538024902,0.007494931574910879,1.1417757272720337,16,P_LP
12,magnitude,2.3373465538024902,2.1188130631344393e-05,1.8760510683059692,16,P_LP
12,on_manifold_null,2.3373465538024902,0.0012408625334501266,0.8107014894485474,16,P_LP
12,full,2.3373465538024902,0.007439874112606049,1.2078150510787964,16,P_LP
20,direction,3.258530855178833,0.007864014245569706,0.7686221599578857,16,P_LP
20,magnitude,3.258530855178833,1.725841502775438e-05,1.1729671955108643,16,P_LP
20,on_manifold_null,3.258530855178833,0.00060065439902246,0.6793047785758972,16,P_LP
20,full,3.258530855178833,0.007693429011851549,0.8245059251785278,16,P_LP
24,direction,6.829671382904053,0.007459826301783323,0.7495558261871338,16,P_LP
24,magnitude,6.829671382904053,1.2120465726184193e-05,1.2274562120437622,16,P_LP
24,on_manifold_null,6.829671382904053,0.00045808765571564436,0.7136171460151672,16,P_LP
24,full,6.829671382904053,0.007582449354231358,0.771388828754425,16,P_LP
27,direction,33.69937515258789,0.005221497733145952,0.864285409450531,16,P_LP
27,magnitude,33.69937515258789,0.025483785197138786,0.05944002419710159,16,P_LP
27,on_manifold_null,33.69937515258789,0.04163122549653053,0.7420267462730408,16,P_LP
27,full,33.69937515258789,0.00529540004208684,0.8385533690452576,16,P_LP
12,direction,4.100146770477295,0.28339165449142456,1.196495771408081,17,P_LP
12,magnitude,4.100146770477295,0.020686756819486618,0.026751330122351646,17,P_LP
12,on_manifold_null,4.100146770477295,0.008555122651159763,0.8557619452476501,17,P_LP
12,full,4.100146770477295,0.294726699590683,1.129384994506836,17,P_LP
20,direction,5.321455001831055,0.29522934556007385,0.8077831864356995,17,P_LP
20,magnitude,5.321455001831055,0.01162860170006752,0.1599404364824295,17,P_LP
20,on_manifold_null,5.321455001831055,0.23905369639396667,0.7197844982147217,17,P_LP
20,full,5.321455001831055,0.3036319315433502,0.7697231769561768,17,P_LP
24,direction,7.581718921661377,0.30178382992744446,0.7176034450531006,17,P_LP
24,magnitude,7.581718921661377,0.02441672421991825,0.21742698550224304,17,P_LP
24,on_manifold_null,7.581718921661377,0.040720194578170776,0.6344462037086487,17,P_LP
24,full,7.581718921661377,0.30549588799476624,0.6905495524406433,17,P_LP
27,direction,35.56560516357422,0.270521879196167,0.9112511277198792,17,P_LP
27,magnitude,35.56560516357422,1.1931205987930298,0.041503630578517914,17,P_LP
27,on_manifold_null,35.56560516357422,0.044134702533483505,0.731688380241394,17,P_LP
27,full,35.56560516357422,0.27066588401794434,0.8503978252410889,17,P_LP
12,direction,4.588923931121826,0.4515441954135895,1.0385239124298096,18,P_LP
12,magnitude,4.588923931121826,0.000531549914740026,2.0967319011688232,18,P_LP
12,on_manifold_null,4.588923931121826,0.02859797142446041,0.9015889763832092,18,P_LP
12,full,4.588923931121826,0.4524686336517334,1.0651655197143555,18,P_LP
20,direction,6.60176944732666,0.49187350273132324,0.9802504181861877,18,P_LP
20,magnitude,6.60176944732666,0.000582658511120826,1.9038517475128174,18,P_LP
20,on_manifold_null,6.60176944732666,0.5046891570091248,0.8924829363822937,18,P_LP
20,full,6.60176944732666,0.4922509789466858,0.9896925687789917,18,P_LP
24,direction,9.059720993041992,0.49974268674850464,0.964097261428833,18,P_LP
24,magnitude,9.059720993041992,0.0003057503781747073,1.7464618682861328,18,P_LP
24,on_manifold_null,9.059720993041992,0.5095914602279663,0.8361928462982178,18,P_LP
24,full,9.059720993041992,0.49696874618530273,0.9757368564605713,18,P_LP
27,direction,29.254961013793945,0.34648728370666504,0.8742824196815491,18,P_LP
27,magnitude,29.254961013793945,0.8075935244560242,0.10204000025987625,18,P_LP
27,on_manifold_null,29.254961013793945,0.1610850989818573,0.7385402917861938,18,P_LP
27,full,29.254961013793945,0.34646427631378174,0.8589265942573547,18,P_LP
12,direction,4.762518405914307,0.3465039134025574,1.5600558519363403,19,P_LP
12,magnitude,4.762518405914307,0.403008371591568,0.06293796002864838,19,P_LP
12,on_manifold_null,4.762518405914307,0.0170819703489542,0.975202739238739,19,P_LP
12,full,4.762518405914307,0.3473118841648102,1.5069319009780884,19,P_LP
20,direction,7.215312480926514,0.3317282497882843,0.9346890449523926,19,P_LP
20,magnitude,7.215312480926514,0.428002268075943,0.03277420625090599,19,P_LP
20,on_manifold_null,7.215312480926514,0.3588605523109436,0.7973762154579163,19,P_LP
20,full,7.215312480926514,0.3320602476596832,0.9239738583564758,19,P_LP
24,direction,10.19299030303955,0.32319146394729614,0.8063361048698425,19,P_LP
24,magnitude,10.19299030303955,0.25102588534355164,0.03300498053431511,19,P_LP
24,on_manifold_null,10.19299030303955,0.29726067185401917,0.7589527368545532,19,P_LP
24,full,10.19299030303955,0.32328706979751587,0.7886826992034912,19,P_LP
27,direction,30.588422775268555,0.3318801522254944,0.8817895650863647,19,P_LP
27,magnitude,30.588422775268555,0.0067711784504354,0.060389697551727295,19,P_LP
27,on_manifold_null,30.588422775268555,0.16853976249694824,0.7696726322174072,19,P_LP
27,full,30.588422775268555,0.3313509225845337,0.8059591054916382,19,P_LP
12,direction,3.1910202503204346,0.6004401445388794,1.1436338424682617,20,P_LP
12,magnitude,3.1910202503204346,0.002316278638318181,0.4009791910648346,20,P_LP
12,on_manifold_null,3.1910202503204346,0.004873367957770824,0.8131310343742371,20,P_LP
12,full,3.1910202503204346,0.6001963019371033,1.1428558826446533,20,P_LP
20,direction,4.565723419189453,0.6261050701141357,1.011730432510376,20,P_LP
20,magnitude,4.565723419189453,0.023688482120633125,0.3732515573501587,20,P_LP
20,on_manifold_null,4.565723419189453,0.005637014750391245,0.8419419527053833,20,P_LP
20,full,4.565723419189453,0.6280241012573242,0.9941427707672119,20,P_LP
24,direction,6.3623127937316895,0.6264850497245789,0.7950124144554138,20,P_LP
24,magnitude,6.3623127937316895,0.0024051794316619635,0.24479131400585175,20,P_LP
24,on_manifold_null,6.3623127937316895,0.009953232482075691,0.7677103281021118,20,P_LP
24,full,6.3623127937316895,0.6300062537193298,0.7787463068962097,20,P_LP
27,direction,23.24466896057129,0.24544014036655426,0.8217300176620483,20,P_LP
27,magnitude,23.24466896057129,0.002469448372721672,0.05355549603700638,20,P_LP
27,on_manifold_null,23.24466896057129,0.06383635103702545,0.673785924911499,20,P_LP
27,full,23.24466896057129,0.25492924451828003,0.7709944248199463,20,P_LP
12,direction,2.8267626762390137,0.2510024607181549,1.0821068286895752,21,P_LP
12,magnitude,2.8267626762390137,0.004972624592483044,1.8822544813156128,21,P_LP
12,on_manifold_null,2.8267626762390137,0.005899474956095219,0.7294576168060303,21,P_LP
12,full,2.8267626762390137,0.2396842986345291,1.1268596649169922,21,P_LP
20,direction,4.386812686920166,0.19622601568698883,0.8047852516174316,21,P_LP
20,magnitude,4.386812686920166,0.005392085295170546,1.347057580947876,21,P_LP
20,on_manifold_null,4.386812686920166,0.08492744714021683,0.7137426137924194,21,P_LP
20,full,4.386812686920166,0.18564024567604065,0.8383632898330688,21,P_LP
24,direction,6.827698707580566,0.18907897174358368,0.7597920894622803,21,P_LP
24,magnitude,6.827698707580566,0.006397853139787912,0.2942648231983185,21,P_LP
24,on_manifold_null,6.827698707580566,0.09050864726305008,0.708370566368103,21,P_LP
